Elapsed Time since Epoch[min],ECI: X[km],ECI: Y[km],ECI: Z[km],Julian Date[days],GMST[deg],Geocentric Latitude[deg],Geocentric Longitude[deg],Geocentric Height[km],Geodetic Latitude[deg],Geodetic Longitude[deg],Geodetic Height[km]
0,108.36698582,-6776.65855152,0.04380685,2461163.65166499,275.65871683,0.00037033,-4.74256594,399.38795601,0.00037267,-4.74256594,399.38795602
5,-194.24775989,-6391.23789159,2238.30676554,2461163.65513721,276.91213901,19.29276499,-8.65298359,396.49739277,19.40597305,-8.65298359,398.84143707
10,-474.65437357,-5275.07384722,4219.93233342,2461163.65860943,278.16556136,38.54632996,-13.30722400,393.82946230,38.72286968,-13.30722400,402.15697689
15,-700.83865612,-3556.21491849,5718.10853490,2461163.66208166,279.41898354,57.63005619,-20.56764416,391.98889139,57.79340565,-20.56764416,407.26420090
20,-847.07454105,-1431.60084376,6562.12266134,2461163.66555388,280.67240589,75.77569049,-41.28509988,391.53581901,75.86155902,-41.28509988,411.63494612
25,-896.80782831,856.15573922,6656.41389137,2461163.66902610,281.92582808,79.44864424,-145.59734883,392.76492101,79.51351597,-145.59734883,413.43573894
30,-844.44413950,3046.45771078,5990.74461572,2461163.67249832,283.17925043,62.17930394,-177.68646961,395.56298886,62.32823686,-177.68646961,412.30661951
35,-695.94004889,4889.90427473,4641.08321183,2461163.67597055,284.43267261,43.21777718,173.66736888,399.41047285,43.39825885,173.66736888,409.46272989
40,-468.16537825,6176.34087653,2761.27844465,2461163.67944277,285.68609496,24.02705811,168.64862425,403.53123823,24.16185334,168.64862425,407.09024243
45,-187.04771640,6759.03686428,565.95473604,2461163.68291499,286.93951714,4.78456154,164.64566583,407.13167148,4.81471739,164.64566583,407.28113346
50,115.37744143,6571.96477406,-1694.04913021,2461163.68638721,288.19293932,-14.45228741,160.80127905,409.63401860,-14.53989098,160.80127905,410.97180274
55,404.69267911,5637.50253818,-3760.93771043,2461163.68985943,289.44636167,-33.64043081,156.44765777,410.81457549,-33.80720111,156.44765777,417.39843836
60,648.09929781,4063.28721235,-5399.93871356,2461163.69333166,290.69978386,-52.69330007,150.23780563,410.80060319,-52.86709452,150.23780563,424.35288729
65,818.13793031,2028.96602427,-6425.88046052,2461163.69680388,291.95320621,-71.19874735,136.08607265,409.94023097,-71.30848304,136.08607265,429.11288641
70,895.68484969,-234.77236216,-6723.28636295,2461163.70027610,293.20662839,-82.15845694,52.10571085,408.61103792,-82.20704248,52.10571085,429.59946198
75,871.97184093,-2471.93434961,-6258.43690338,2461163.70374832,294.46005074,-67.27461088,-5.02981864,407.05472859,-67.40288231,-5.02981864,425.26049701
80,749.52767220,-4429.10399228,-5082.95118403,2461163.70722055,295.71347292,-48.53124114,-16.10843230,405.30951671,-48.71039105,-16.10843230,417.34084260
85,541.98932816,-5883.27645211,-3328.77296600,2461163.71069277,296.96689527,-29.39764232,-21.70345112,403.26578283,-29.55255072,-21.70345112,408.43659221
90,272.73414879,-6667.30602371,-1194.49469971,2461163.71416499,298.22031745,-10.14887266,-25.87787085,400.81359116,-10.21184578,-25.87787085,401.48054935
95,-27.65187748,-6690.03431224,1076.47713834,2461163.71763721,299.47373963,9.14089471,-29.71055858,398.00694436,9.19786633,-29.71055858,398.54908550
100,-324.87369238,-5947.92220398,3224.00624557,2461163.72110943,300.72716199,28.42368526,-33.85353344,395.15892829,28.57551708,-33.85353344,400.02134893
