Elapsed Time since Epoch[min],ECI: X[km],ECI: Y[km],ECI: Z[km],Julian Date[days],GMST[deg],Geocentric Latitude[deg],Geocentric Longitude[deg],Geocentric Height[km],Geodetic Latitude[deg],Geodetic Longitude[deg],Geodetic Height[km]
0,108.36698582,-6776.65855152,0.04380685,2461163.65166499,275.65871683,0.00037033,-4.74256594,399.38795601,0.00037267,-4.74256594,399.38795602
1,47.72321623,-6761.41994117,456.10061488,2461163.65235943,275.90940127,3.85902115,-5.50500493,398.81695418,3.88341380,-5.50500493,398.91426518
2,-13.14080542,-6714.97681906,910.04637874,2461163.65305388,276.16008570,7.71796583,-6.27220995,398.23893207,7.76630677,-6.27220995,398.62638110
3,-73.94417679,-6637.53859241,1359.77942507,2461163.65374832,276.41077014,11.57683907,-7.04903596,397.65715212,11.64824439,-7.04903596,398.52222788
4,-134.40620636,-6529.45969517,1803.21729594,2461163.65444277,276.66145458,15.43524933,-7.84069778,397.07528860,15.52841021,-7.84069778,398.59662813
5,-194.24775989,-6391.23789159,2238.30676554,2461163.65513721,276.91213901,19.29276499,-8.65298359,396.49739277,19.40597305,-8.65298359,398.84143707
6,-253.19259729,-6223.51184105,2663.03369398,2461163.65583166,277.16282362,23.14889728,-9.49251656,395.92784928,23.28007783,-9.49251656,399.24573290
7,-310.96869172,-6027.05794355,3075.43265862,2461163.65652610,277.41350805,27.00307813,-10.36708982,395.37132434,27.14983057,-10.36708982,399.79605928
8,-367.30952309,-5802.78649109,3473.59630649,2461163.65722055,277.66419249,30.85463040,-11.28611537,394.83270667,31.01427507,-11.28611537,400.47671414
9,-421.95533865,-5551.73715540,3855.68437511,2461163.65791499,277.91487693,34.70272662,-12.26124051,394.31704199,34.87235704,-12.26124051,401.27007833
10,-474.65437357,-5275.07384722,4219.93233342,2461163.65860943,278.16556136,38.54632996,-13.30722400,393.82946230,38.72286968,-13.30722400,402.15697689
11,-525.16402535,-4974.07898613,4564.65959922,2461163.65930388,278.41624580,42.38410751,-14.44321466,393.37511108,42.56437047,-14.44321466,403.11706505
12,-573.25197624,-4650.14722269,4888.27729473,2461163.65999832,278.66693023,46.21429905,-15.69467296,392.95906572,46.39505267,-15.69467296,404.12923094
13,-618.69725858,-4304.77865707,5189.29550711,2461163.66069277,278.91761467,50.03451225,-17.09634917,392.58625858,50.21254238,-17.09634917,405.17200682
14,-661.29125879,-3939.57159951,5466.33002595,2461163.66138721,279.16829911,53.84139094,-18.69705948,392.26139812,54.01356850,-18.69705948,406.22398076
15,-700.83865612,-3556.21491849,5718.10853490,2461163.66208166,279.41898354,57.63005619,-20.56764416,391.98889139,57.79340565,-20.56764416,407.26420090
16,-737.15829316,-3156.48002231,5943.47623927,2461163.66277610,279.66966798,61.39311820,-22.81481534,391.77276950,61.54488953,-22.81481534,408.27256513
17,-770.08397556,-2742.21251895,6141.40091588,2461163.66347055,279.92035258,65.11883019,-25.60646373,391.61661723,65.25657874,-25.60646373,409.23018906
18,-799.46519892,-2315.32359782,6310.97737520,2461163.66416499,280.17103702,68.78740631,-29.22047578,391.52350827,68.90909102,-29.22047578,410.11974644
19,-825.16780145,-1877.78117525,6451.43132926,2461163.66485943,280.42172146,72.36309992,-34.14421755,391.49594713,72.46722557,-34.14421755,410.92577625
