UTC-Time on 20.06.2025,Julian Date [days],ECI X-Position [km],ECI Y-Position [km],ECI Z-Position [km]
15:00:00,2460847.1250000000,3832.5029296875,-5295.5029296875,-1981.8303222656
15:00:30,2460847.1253472222,3843.3732910156,-5364.1391601562,-1763.4605712891
15:01:00,2460847.1256944444,3849.9121093750,-5426.7304687500,-1543.0979003906
15:01:30,2460847.1260416666,3852.1115722656,-5483.2050781250,-1320.9909667969
15:02:00,2460847.1263888888,3849.9685058594,-5533.4980468750,-1097.3906250000
15:02:30,2460847.1267361110,3843.4838867188,-5577.5512695312,-872.5493774414
15:03:00,2460847.1270833332,3832.6647949219,-5615.3144531250,-646.7212524414
15:03:30,2460847.1274305554,3817.5227050781,-5646.7441406250,-420.1615905762
15:04:00,2460847.1277777776,3798.0737304688,-5671.8032226562,-193.1265869141
15:04:30,2460847.1281249998,3774.3395996094,-5690.4624023438,34.1269416809
15:05:00,2460847.1284722220,3746.3461914062,-5702.7006835938,261.3418579102
15:05:30,2460847.1288194442,3714.1247558594,-5708.5029296875,488.2609863281
15:06:00,2460847.1291666669,3677.7111816406,-5707.8623046875,714.6275024414
15:06:30,2460847.1295138891,3637.1462402344,-5700.7783203125,940.1849975586
15:07:00,2460847.1298611113,3592.4753417969,-5687.2587890625,1164.6782226562
15:07:30,2460847.1302083335,3543.7485351562,-5667.3183593750,1387.8527832031
15:08:00,2460847.1305555557,3491.0209960938,-5640.9794921875,1609.4559326172
15:08:30,2460847.1309027779,3434.3515625000,-5608.2714843750,1829.2366943359
15:09:00,2460847.1312500001,3373.8044433594,-5569.2309570312,2046.9462890625
15:09:30,2460847.1315972223,3309.4475097656,-5523.9018554688,2262.3378906250
15:10:00,2460847.1319444445,3241.3540039062,-5472.3354492188,2475.1677246094
15:10:30,2460847.1322916667,3169.6003417969,-5414.5898437500,2685.1948242188
15:11:00,2460847.1326388889,3094.2678222656,-5350.7299804688,2892.1813964844
15:11:30,2460847.1329861111,3015.4411621094,-5280.8286132812,3095.8928222656
15:12:00,2460847.1333333333,2933.2099609375,-5204.9648437500,3296.0988769531
15:12:30,2460847.1336805555,2847.6669921875,-5123.2241210938,3492.5727539062
15:13:00,2460847.1340277777,2758.9089355469,-5035.6987304688,3685.0922851562
15:13:30,2460847.1343749999,2667.0363769531,-4942.4887695312,3873.4396972656
15:14:00,2460847.1347222221,2572.1528320312,-4843.6992187500,4057.4018554688
15:14:30,2460847.1350694443,2474.3657226562,-4739.4414062500,4236.7709960938
15:15:00,2460847.1354166665,2373.7858886719,-4629.8344726562,4411.3442382812
15:15:30,2460847.1357638887,2270.5268554688,-4515.0019531250,4580.9248046875
15:16:00,2460847.1361111109,2164.7053222656,-4395.0737304688,4745.3203125000
15:16:30,2460847.1364583331,2056.4411621094,-4270.1860351562,4904.3457031250
15:17:00,2460847.1368055558,1945.8565673828,-4140.4794921875,5057.8217773438
15:17:30,2460847.1371527780,1833.0764160156,-4006.1018066406,5205.5747070312
15:18:00,2460847.1375000002,1718.2283935547,-3867.2043457031,5347.4379882812
15:18:30,2460847.1378472224,1601.4420166016,-3723.9440917969,5483.2519531250
15:19:00,2460847.1381944446,1482.8493652344,-3576.4836425781,5612.8627929688
15:19:30,2460847.1385416668,1362.5842285156,-3424.9890136719,5736.1254882812
