Julian Date [days],Satellite ECI X-Position [km],Satellite ECI Y-Position [km],Satellite ECI Z-Position [km],Ground Station ECI X-Position [km],Ground Station ECI Y-Position [km],Ground Station ECI Z-Position [km],SEZ-South Distance [km],SEZ-East Distance [km],SEZ-Zenith Distance [km],Slant Range [km],Azimuth [deg],Elevation [deg]
2460847.1250000000,3832.5029296875,-5295.5029296875,-1981.8303222656,-3340.5466308594,2422.9870605469,4847.2338867188,-3484.3419393648,2036.4104051993,-11890.1745241516,12556.4268923769,30.3039882520,-71.2516408239
2460847.1251157406,3836.6069335938,-5319.0483398438,-1909.2770996094,-3342.3127441406,2420.5505371094,4847.2338867188,-3543.1397567235,2057.6015128929,-11844.8787384881,12533.5037260545,30.1449476744,-70.9189814464
2460847.1252314816,3840.2304687500,-5341.9282226562,-1836.4841308594,-3344.0769042969,2418.1125488281,4847.2338867188,-3601.4761668163,2078.5595280020,-11798.8794165349,12510.1796860607,29.9910061653,-70.5861403856
2460847.1253472222,3843.3732910156,-5364.1391601562,-1763.4605712891,-3345.8393554688,2415.6733398438,4847.2338867188,-3659.3437306766,2099.2786963566,-11752.1817779024,12486.4544256999,29.8418707526,-70.2531282968
2460847.1254629628,3846.0346679688,-5385.6782226562,-1690.2155761719,-3347.5998535156,2413.2329101562,4847.2338867188,-3716.7357094766,2119.7562950430,-11704.7916342828,12462.3287665849,29.6972976627,-69.9199471817
2460847.1255787038,3848.2143554688,-5406.5429687500,-1616.7583007812,-3349.3588867188,2410.7912597656,4847.2338867188,-3773.6449073914,2139.9882333863,-11656.7156898445,12437.8039138740,29.5570460682,-69.5866048307
2460847.1256944444,3849.9121093750,-5426.7304687500,-1543.0979003906,-3351.1159667969,2408.3481445312,4847.2338867188,-3830.0649983374,2159.9707214701,-11607.9601053226,12412.8807782827,29.4208879744,-69.2531040461
2460847.1258101850,3851.1276855469,-5446.2382812500,-1469.2437744141,-3352.8713378906,2405.9038085938,4847.2338867188,-3885.9888250868,2179.7002302155,-11558.5303385839,12387.5593169222,29.2886175749,-68.9194488050
2460847.1259259260,3851.8610839844,-5465.0639648438,-1395.2049560547,-3354.6247558594,2403.4582519531,4847.2338867188,-3941.4096338425,2199.1731649249,-11508.4341070744,12361.8416147411,29.1600382984,-68.5856452559
2460847.1260416666,3852.1115722656,-5483.2050781250,-1320.9909667969,-3356.3764648438,2401.0114746094,4847.2338867188,-3996.3209125195,2218.3856116416,-11457.6767747639,12335.7274869682,29.0349603116,-68.2516952510
2460847.1261574072,3851.8798828125,-5500.6591796875,-1246.6110839844,-3358.1264648438,2398.5632324219,4847.2338867188,-4050.7153998749,2237.3338565122,-11406.2656299698,12309.2182390967,28.9132115100,-67.9176061493
2460847.1262731482,3851.1652832031,-5517.4243164062,-1172.0744628906,-3359.8745117188,2396.1137695312,4847.2338867188,-4104.5866879386,2256.0145800578,-11354.2074036501,12282.3149051528,28.7946288626,-67.5833802561
2460847.1263888888,3849.9685058594,-5533.4980468750,-1097.3906250000,-3361.6210937500,2393.6630859375,4847.2338867188,-4157.9293236546,2274.4240850525,-11301.5083553570,12255.0182490839,28.6790490728,-67.2490161237
2460847.1265046299,3848.2890625000,-5548.8784179688,-1022.5689086914,-3363.3654785156,2391.2111816406,4847.2338867188,-4210.7353632289,2292.5599275473,-11248.1751961992,12227.3287583566,28.5663453380,-66.9145198407
2460847.1266203704,3846.1274414062,-5563.5634765625,-947.6186523438,-3365.1083984375,2388.7580566406,4847.2338867188,-4262.9995180173,2310.4164773654,-11194.2156037083,12199.2480166526,28.4563498762,-66.5798957758
2460847.1267361110,3843.4838867188,-5577.5512695312,-872.5493774414,-3366.8493652344,2386.3034667969,4847.2338867188,-4314.7149233909,2327.9920505548,-11139.6359226618,12170.7764890756,28.3489530028,-66.2451436554
2460847.1268518521,3840.3586425781,-5590.8403320312,-797.3704223633,-3368.5886230469,2383.8476562500,4847.2338867188,-4365.8760117785,2345.2828680711,-11084.4442341839,12141.9162022402,28.2440226560,-65.9102658709
2460847.1269675926,3836.7521972656,-5603.4287109375,-722.0911865234,-3370.3261718750,2381.3906250000,4847.2338867188,-4416.4762201444,2362.2853899897,-11028.6464986279,12112.6668433734,28.1414414096,-65.5752640651
2460847.1270833332,3832.6647949219,-5615.3144531250,-646.7212524414,-3372.0617675781,2378.9323730469,4847.2338867188,-4466.5096887670,2378.9961179002,-10972.2505500565,12083.0299785297,28.0410945042,-65.2401407204
